,AAPL,MSFT,GOOGL,AMZN,TSLA
2021-01-08,128.9881328089,211.8551463925,89.4582842587,159.135,293.34
2021-01-11,125.9893174531,209.8004543708,87.3912939826,155.7105,270.3966666667
2021-01-12,125.8134911456,207.3309653681,86.4528385996,156.0415,283.1466666667
2021-01-13,127.8550299383,208.6911136079,86.9414723144,158.2945,284.8033333333
2021-01-14,125.9209405558,205.4884950576,86.1289072877,156.3735,281.6666666667
2021-01-15,124.1919818653,205.1315767251,85.9647024752,155.2125,275.3866666667
2021-01-19,124.8659827108,208.7875780221,88.7935035632,156.038,281.5166666667
2021-01-20,128.9685965525,216.4082667412,93.5504672223,163.169,283.4833333333
2021-01-21,133.6963705986,217.0159925505,93.7534840813,165.3495,281.6633333333
2021-01-22,135.8453588014,217.9613438093,94.171957558,164.6115,282.2133333333
2021-01-25,139.6060881563,221.4147698365,94.2575430967,164.7,293.6
2021-01-26,139.840523233,224.1157734331,94.9377490927,166.3065,294.3633333333
2021-01-27,138.7660291316,224.6656205939,90.5086974683,161.629,288.0533333333
2021-01-28,133.9112694189,230.4824247681,92.2134419762,161.881,278.4766666667
2021-01-29,128.9002196551,223.7588551007,90.9276685354,160.31,264.51
2021-02-01,131.0296716015,231.1769685501,94.1973346654,167.144,279.9366666667
2021-02-02,131.8599624981,231.0419183703,95.4935575035,169.0,290.93
2021-02-03,130.8343090376,234.4085264247,102.447880108,165.6265,284.8966666667
2021-02-04,134.2043132647,233.4535287244,102.186645179,166.55,283.33
2021-02-05,133.7891678165,233.6368111114,103.938163179,167.6075,284.0766666667
2021-02-08,133.9359093723,233.8972650296,103.723701742,166.147,287.8066666667
2021-02-09,133.0554600374,235.1513024138,103.2694017608,165.25,283.1533333333
2021-02-10,132.4489282734,234.2348904792,103.8212294488,164.329,268.2733333333
2021-02-11,132.1945762433,235.8458461958,103.9341824562,163.1065,270.5533333333
2021-02-12,132.4293627326,236.3281682666,104.2466691903,163.8855,272.04
2021-02-16,130.2967187882,235.0837773239,105.0263932545,163.4475,265.4066666667
2021-02-17,127.9977677472,236.106300114,105.4204848045,165.432,266.05
2021-02-18,126.8923146934,235.709889045,104.7830715778,166.4115,262.46
2021-02-19,127.0488390196,232.9833543754,103.9371679983,162.495,260.4333333333
2021-02-22,123.2629068798,226.7374628982,102.2179933705,159.037,238.1666666667
2021-02-23,123.1259480943,225.5385611286,102.5095813102,159.725,232.9466666667
2021-02-24,122.6270268046,226.7761371488,103.6883728278,157.9765,247.34
2021-02-25,118.3617389157,221.4004163108,100.3117247745,152.858,227.4066666667
2021-02-26,118.6258737162,224.678059052,100.6082886176,154.6465,225.1666666667
2021-03-01,125.0140227791,229.0869236241,102.9842824954,157.307,239.4766666667
2021-03-02,122.4020230857,226.1186748881,102.7265306989,154.7265,228.8133333333
2021-03-03,119.4084953472,220.0178118507,100.0858187597,150.25,217.7333333333
2021-03-04,117.5204206624,219.2153211501,101.2063922074,148.8785,207.1466666667
2021-03-05,118.7823980424,223.9239111646,104.3481776199,150.023,199.3166666667
2021-03-08,113.8323162264,219.8534462855,99.8912609364,147.5975,187.6666666667
2021-03-09,118.4546752344,226.0316578241,101.5263427966,153.1425,224.5266666667
2021-03-10,117.3736791066,224.7167333026,101.3188476244,152.882,222.6866666667
2021-03-11,119.3106676433,229.2706263146,104.5208414682,155.6795,233.2
2021-03-12,118.4008699973,227.9363646678,102.0060198852,154.4745,231.2433333333
2021-03-15,121.2965700319,227.0275197779,102.2269499966,154.084,235.98
2021-03-16,122.8422477531,229.8314029488,103.6923535506,154.593,225.6266666667
2021-03-17,122.0498433517,229.1836092507,103.6092559636,156.7865,233.9366666667
2021-03-18,117.9117314779,223.0730776507,100.5799259682,151.3995,217.72
2021-03-19,117.383461877,222.7153408324,100.8595717398,153.748,218.29
2021-03-22,120.7096038087,228.1684101716,101.0451729369,155.5435,223.3333333333
2021-03-23,119.8780683258,229.7057116343,101.5746090597,156.875,220.72
2021-03-24,117.4812895809,227.6559763507,101.1367295597,154.3535,210.09
2021-03-25,117.9704281002,224.6393848014,101.1332464273,152.313,213.4633333333
2021-03-26,118.5769598642,228.6421697419,100.7486090938,152.6015,206.2366666667
2021-03-29,118.7530497312,227.4432679722,101.7965343517,153.7865,203.7633333333
2021-03-30,117.2954169435,224.1656252311,101.8303704949,152.7645,211.8733333333
2021-03-31,119.4965402807,227.9557017931,102.629002992,154.704,222.6433333333
2021-04-01,120.3280757636,234.3176160222,105.975795625,158.05,220.5833333333
2021-04-05,123.1650791759,240.8148901286,110.4133062851,161.3365,230.35
2021-04-06,123.4683450579,239.6449940469,109.9306436545,161.191,230.54
2021-04-07,125.1216332533,241.6173808292,111.4119700993,163.9695,223.6566666667
2021-04-08,127.5281947686,244.8563493197,111.979223088,164.965,227.9333333333
2021-04-09,130.1059547657,247.3701756109,112.9863459379,168.61,225.6733333333
2021-04-12,128.3890785627,247.4281869868,111.6901230999,168.9695,233.9933333333
2021-04-13,131.5097823162,249.9226761526,112.1782592243,170.0,254.1066666667
